"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.092,-0.0324422564590585,-0.0779584142305484,-0.00897341496925505,-0.102004077458837,0.646931119824603,0.618139175515747,0.696097589746296,0.679373376283661,"DVDS"
1.093,-0.0243553531572573,-0.085257730148947,NA,NA,NA,NA,NA,NA,"ZSB"
1.093,-0.0321660185279793,-0.0782099196288826,-0.00870062007524979,-0.10225924178797,0.647100397478375,0.617982887357646,0.696192806986529,0.679266416006354,"DVDS"
1.094,-0.024045567150647,-0.0855736525057835,NA,NA,NA,NA,NA,NA,"ZSB"
1.094,-0.031947860497045,-0.0784540168889263,-0.00848739844846319,-0.102507293961109,0.647273893937883,0.617823017111666,0.696277034000592,0.679221754434928,"DVDS"
1.095,-0.0237361042703716,-0.0858893080409838,NA,NA,NA,NA,NA,NA,"ZSB"
1.095,-0.0317156268990829,-0.0786942616035606,-0.00825719376509184,-0.10275157192486,0.647417081994474,0.617666882283591,0.696361143887152,0.679132708893557,"DVDS"
1.096,-0.0234269639703187,-0.0862046971175708,NA,NA,NA,NA,NA,NA,"ZSB"
1.096,-0.0314879423179512,-0.0789645846579982,-0.0080315893190018,-0.103024793479171,0.647560086536364,0.617480550121167,0.696445134779165,0.679048028854315,"DVDS"
1.097,-0.0231181457055884,-0.0865198200977882,NA,NA,NA,NA,NA,NA,"ZSB"
1.097,-0.031256226466722,-0.07920470753379,-0.00780185814683029,-0.103268973512289,0.647702900778406,0.617324306006774,0.696529013540565,0.678959127245128,"DVDS"
1.098,-0.0228096489324823,-0.0868346773431067,NA,NA,NA,NA,NA,NA,"ZSB"
1.098,-0.0310132794553987,-0.0794506319990796,-0.00756114944427645,-0.103518581264545,0.647845522804793,0.6171589569402,0.69660958893928,0.678858802260191,"DVDS"
1.099,-0.0225014731085111,-0.0871492692142219,NA,NA,NA,NA,NA,NA,"ZSB"
1.099,-0.0307819320592239,-0.0796904092903514,-0.00733174531880478,-0.103762446909095,0.647987957245064,0.617002796411845,0.696693205702196,0.678769889304288,"DVDS"
1.1,-0.0221936176923857,-0.0874635960710624,NA,NA,NA,NA,NA,NA,"ZSB"
1.1,-0.0305344810365436,-0.0799156856490324,-0.00708653454464378,-0.103991375678945,0.648138979638879,0.616861019273637,0.696776704922669,0.678673460675423,"DVDS"
1.101,-0.0218860821440116,-0.0877776582727871,NA,NA,NA,NA,NA,NA,"ZSB"
1.101,-0.030278708419159,-0.0801549151652271,-0.00683317409856979,-0.104234723983501,0.64828861468385,0.616705171442521,0.696860086607748,0.678567323103009,"DVDS"
1.102,-0.0215788659244942,-0.0880914561777915,NA,NA,NA,NA,NA,NA,"ZSB"
1.102,-0.0300355329516563,-0.0803921036823999,-0.00659241758173872,-0.104476012446641,0.648442804266011,0.61654941436848,0.69694151805088,0.678478337217667,"DVDS"
1.103,-0.0212719684961268,-0.088404990143709,NA,NA,NA,NA,NA,NA,"ZSB"
1.103,-0.0297512023796782,-0.0806546598433807,-0.0063116032951705,-0.10474170074633,0.648634240921393,0.616364048040453,0.697018707883833,0.678385443301071,"DVDS"
